"Sifra";"Naziv";"Jedinicna mjera";"Trenutna cijena";"Sidrena cijena"
"-";"Ukrasni komplet";"kom";"100,00";"100,00"
"-";"Sjekirica  personalizirana";"kom";"70,00";"70,00"
"-";"Sjekirica sa podlogom";"kom";"80,00";"80,00"
"-";"Ukrasni nož";"kom";"60,00";"-"
"-";"Ukrasni nož na postolju";"kom";"80,00";"30,00"
"-";"Remen sa grbom";"kom";"30,00";"30,00"
"-";"Pepeljara staklena gravirana";"kom";"15,00";"15,00"
"-";"Pljoska";"kom";"30,00";"30,00"
"-";"Gravirani čekić";"kom";"40,00";"40,00"
"-";"Daska ukrasna";"kom";"30,00";"30,00"
"-";"Holderi za kartice";"kom";"15,00";"15,00"
"-";"Sjekirica unikatna";"kom";"70,00";"70,00"
"-";"LED Plaketa";"kom";"35,00";"35,00"
"-";"Sat gravirani";"kom";"35,00";"35,00"
"-";"Poštarina";"-";"7,00";"-"
"-";"Ukrasna kutija";"kom";"5,00";"5,00"
"-";"Preklopni nož";"kom";"40,00";"40,00"
"-";"Futrola za sjekiricu";"kom";"10,00";"10,00"
"-";"Dizajn";"kom";"10,00";"-"
